model,tier,arm,pull_non,pull_think,delta_pull,c,hug_non,hug_think,delta_hug
Gemini,Fortune,x05,32.2,17.2,-14.9,-0.464,5.0,2.0,-3.0
Gemini,Fortune,pooled,49.8,26.4,-23.4,-0.471,12.5,4.5,-8.0
Gemini,Fortune,x2,67.4,35.5,-31.9,-0.474,20.0,7.0,-13.0
Gemini,Layperson,x05,40.5,30.5,-10.0,-0.248,6.0,5.0,-1.0
Gemini,Layperson,pooled,56.2,53.8,-2.4,-0.042,13.5,13.0,-0.5
Gemini,Layperson,x2,71.9,77.2,5.3,0.189,21.0,21.0,0.0
Gemini,Law student,x05,50.2,49.5,-0.7,-0.014,7.0,11.0,4.0
Gemini,Law student,pooled,61.6,68.9,7.2,0.189,14.0,18.5,4.5
Gemini,Law student,x2,73.1,88.3,15.2,0.564,21.0,26.0,5.0
Gemini,Expert,x05,61.4,85.5,24.0,0.624,11.5,25.0,13.5
Gemini,Expert,pooled,68.8,88.6,19.7,0.633,16.8,26.0,9.2
Gemini,Expert,x2,76.2,91.6,15.4,0.647,22.0,27.0,5.0
Gemini,Chief judge,x05,71.9,89.7,17.8,0.634,16.0,26.0,10.0
Gemini,Chief judge,pooled,76.8,94.9,18.0,0.778,20.0,28.0,8.0
Gemini,Chief judge,x2,81.7,100.0,18.3,1.0,24.0,30.0,6.0
GLM,Fortune,x05,57.4,23.8,-33.6,-0.585,13.0,5.0,-8.0
GLM,Fortune,pooled,56.3,32.3,-24.0,-0.427,14.0,6.0,-8.0
GLM,Fortune,x2,55.2,40.7,-14.5,-0.263,15.0,7.0,-8.0
GLM,Layperson,x05,68.3,32.1,-36.2,-0.531,18.0,8.0,-10.0
GLM,Layperson,pooled,61.0,31.9,-29.1,-0.477,16.0,7.5,-8.5
GLM,Layperson,x2,53.7,31.8,-21.9,-0.408,14.0,7.0,-7.0
GLM,Law student,x05,83.9,56.0,-27.9,-0.333,23.0,14.0,-9.0
GLM,Law student,pooled,75.0,54.9,-20.1,-0.268,21.0,14.0,-7.0
GLM,Law student,x2,66.1,53.8,-12.3,-0.186,19.0,14.0,-5.0
GLM,Expert,x05,89.5,89.8,0.4,0.034,25.0,26.0,1.0
GLM,Expert,pooled,77.9,78.0,0.1,0.004,22.0,22.5,0.5
GLM,Expert,x2,66.3,66.1,-0.2,-0.003,19.0,19.0,0.0
GLM,Chief judge,x05,95.6,100.0,4.4,1.0,28.0,30.0,2.0
GLM,Chief judge,pooled,87.2,90.6,3.4,0.268,25.5,26.5,1.0
GLM,Chief judge,x2,78.7,81.2,2.5,0.117,23.0,23.0,0.0
MiMo,Fortune,x05,66.3,43.9,-22.4,-0.338,18.0,7.0,-11.0
MiMo,Fortune,pooled,69.4,45.5,-23.9,-0.344,19.5,9.5,-10.0
MiMo,Fortune,x2,72.5,47.2,-25.3,-0.349,21.0,12.0,-9.0
MiMo,Layperson,x05,83.3,80.3,-3.0,-0.036,25.0,23.0,-2.0
MiMo,Layperson,pooled,80.8,74.4,-6.3,-0.078,24.0,21.5,-2.5
MiMo,Layperson,x2,78.2,68.6,-9.6,-0.123,23.0,20.0,-3.0
MiMo,Law student,x05,97.0,95.4,-1.6,-0.017,29.0,28.0,-1.0
MiMo,Law student,pooled,92.0,87.7,-4.4,-0.047,27.5,25.0,-2.5
MiMo,Law student,x2,87.1,79.9,-7.1,-0.082,26.0,22.0,-4.0
MiMo,Expert,x05,91.8,98.3,6.5,0.796,27.5,29.5,2.0
MiMo,Expert,pooled,87.9,90.2,2.3,0.193,26.2,26.8,0.5
MiMo,Expert,x2,84.0,82.1,-1.8,-0.022,25.0,24.0,-1.0
MiMo,Chief judge,x05,93.7,100.0,6.3,1.0,28.0,30.0,2.0
MiMo,Chief judge,pooled,89.3,96.7,7.4,0.689,26.5,29.0,2.5
MiMo,Chief judge,x2,84.9,93.3,8.4,0.559,25.0,28.0,3.0
Grok,Fortune,x05,36.1,56.7,20.5,0.322,7.0,17.0,10.0
Grok,Fortune,pooled,40.2,60.8,20.6,0.344,9.0,17.0,8.0
Grok,Fortune,x2,44.2,64.9,20.6,0.37,11.0,17.0,6.0
Grok,Layperson,x05,80.8,60.3,-20.4,-0.253,23.0,19.0,-4.0
Grok,Layperson,pooled,74.7,54.3,-20.4,-0.274,21.0,15.5,-5.5
Grok,Layperson,x2,68.6,48.2,-20.4,-0.298,19.0,12.0,-7.0
Grok,Law student,x05,93.1,96.7,3.6,0.516,27.0,29.0,2.0
Grok,Law student,pooled,85.9,92.0,6.1,0.434,25.0,27.5,2.5
Grok,Law student,x2,78.6,87.3,8.7,0.408,23.0,26.0,3.0
Grok,Expert,x05,87.7,98.3,10.6,0.865,25.5,29.5,4.0
Grok,Expert,pooled,83.5,97.5,14.0,0.851,24.5,29.2,4.8
Grok,Expert,x2,79.3,96.8,17.5,0.844,23.5,29.0,5.5
Grok,Chief judge,x05,94.4,100.0,5.6,1.0,28.0,30.0,2.0
Grok,Chief judge,pooled,95.5,100.0,4.5,1.0,28.5,30.0,1.5
Grok,Chief judge,x2,96.7,100.0,3.3,1.0,29.0,30.0,1.0
Doubao,Fortune,x05,15.7,34.0,18.3,0.217,2.0,6.0,4.0
Doubao,Fortune,pooled,29.0,38.5,9.4,0.133,6.0,9.0,3.0
Doubao,Fortune,x2,42.4,43.0,0.6,0.01,10.0,12.0,2.0
Doubao,Layperson,x05,19.0,56.3,37.3,0.461,1.0,15.0,14.0
Doubao,Layperson,pooled,36.1,60.9,24.7,0.387,8.0,16.5,8.5
Doubao,Layperson,x2,53.2,65.4,12.1,0.259,15.0,18.0,3.0
Doubao,Law student,x05,54.5,90.3,35.8,0.787,14.0,27.0,13.0
Doubao,Law student,pooled,60.4,83.0,22.6,0.57,16.5,24.0,7.5
Doubao,Law student,x2,66.3,75.6,9.4,0.278,19.0,21.0,2.0
Doubao,Expert,x05,40.5,93.5,53.0,0.891,9.5,28.0,18.5
Doubao,Expert,pooled,53.0,85.3,32.3,0.688,13.8,24.8,11.0
Doubao,Expert,x2,65.6,77.1,11.5,0.335,18.0,21.5,3.5
Doubao,Chief judge,x05,58.8,96.7,37.9,0.919,15.0,29.0,14.0
Doubao,Chief judge,pooled,63.9,86.8,22.9,0.634,17.5,25.0,7.5
Doubao,Chief judge,x2,69.0,76.9,7.9,0.255,20.0,21.0,1.0
DeepSeek,Fortune,x05,56.6,82.9,26.3,0.606,16.0,24.3,8.3
DeepSeek,Fortune,pooled,55.2,73.1,17.9,0.4,15.0,21.0,6.0
DeepSeek,Fortune,x2,53.8,63.4,9.6,0.207,14.0,17.7,3.7
DeepSeek,Layperson,x05,59.8,85.4,25.7,0.638,16.0,25.3,9.3
DeepSeek,Layperson,pooled,61.2,76.8,15.7,0.404,16.5,22.0,5.5
DeepSeek,Layperson,x2,62.5,68.2,5.7,0.152,17.0,18.7,1.7
DeepSeek,Law student,x05,73.1,91.6,18.5,0.687,21.0,27.3,6.3
DeepSeek,Law student,pooled,76.8,79.3,2.5,0.11,21.5,23.0,1.5
DeepSeek,Law student,x2,80.4,67.0,-13.4,-0.166,22.0,18.7,-3.3
DeepSeek,Expert,x05,84.3,96.6,12.3,0.781,25.0,28.7,3.7
DeepSeek,Expert,pooled,82.2,86.5,4.3,0.241,23.5,25.2,1.7
DeepSeek,Expert,x2,80.1,76.4,-3.7,-0.046,22.0,21.8,-0.2
DeepSeek,Chief judge,x05,93.3,100.0,6.7,1.0,28.0,30.0,2.0
DeepSeek,Chief judge,pooled,94.2,94.3,0.1,0.01,28.0,28.0,-0.0
DeepSeek,Chief judge,x2,95.1,88.6,-6.5,-0.069,28.0,26.0,-2.0
Kimi,Fortune,x05,63.9,38.0,-25.9,-0.405,15.7,5.3,-10.3
Kimi,Fortune,pooled,67.5,45.1,-22.4,-0.332,17.2,9.5,-7.7
Kimi,Fortune,x2,71.1,52.1,-18.9,-0.266,18.7,13.7,-5.0
Kimi,Layperson,x05,89.9,74.7,-15.3,-0.17,26.3,18.3,-8.0
Kimi,Layperson,pooled,85.4,75.1,-10.3,-0.121,24.7,20.2,-4.5
Kimi,Layperson,x2,80.8,75.5,-5.3,-0.066,23.0,22.0,-1.0
Kimi,Law student,x05,95.3,88.0,-7.3,-0.076,28.0,24.3,-3.7
Kimi,Law student,pooled,90.5,83.1,-7.5,-0.082,26.3,23.5,-2.8
Kimi,Law student,x2,85.7,78.1,-7.6,-0.089,24.7,22.7,-2.0
Kimi,Expert,x05,95.0,89.1,-6.0,-0.063,28.2,24.8,-3.3
Kimi,Expert,pooled,88.2,86.0,-2.1,-0.024,25.8,24.5,-1.3
Kimi,Expert,x2,81.4,83.0,1.7,0.089,23.5,24.2,0.7
Kimi,Chief judge,x05,94.6,93.9,-0.7,-0.007,28.0,27.7,-0.3
Kimi,Chief judge,pooled,94.0,92.4,-1.6,-0.017,27.8,27.3,-0.5
Kimi,Chief judge,x2,93.5,91.0,-2.5,-0.026,27.7,27.0,-0.7
